Partner Engineer (PE),Partner Name,Country / Headquarters,Partner Advantage Track,Uncommitted Workloads (#),Total Pipeline ARR ($ USD),DRP Profile Capacities (#),Active Accreditations / Certs (#),Partner Action Tracker Spreadsheet
Oliver Hartley,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""TIVIT COLOMBIA S A S"")",Colombia / Regional,Premier,5,"$724,542.53",67,41,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1Hq0wi-6oC7qgOoP4KEZsgQiXLkxxteJ4OIaiAqw5a8U/edit#gid=0"", ""Open Partner Tracker ↗"")"
Oliver Hartley,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA (Axmos)"")",Chile,Premier,41,"$4,649,566.00",137,124,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1HW8oZj-tJvI4RL3QrHrS614BSUFkVe4db_Gu50OEObw/edit#gid=0"", ""Open Partner Tracker ↗"")"
Thiago da Ponte,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002C0zA3QAJ/view"", ""IPNET (Telefônica Cloud)"")",Brazil,Premier,101,"$10,820,513.25",0,143,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1EpquIz41xu7RZPl-Y4nd-jTRbEl3qdAd8hJ53xxpd4M/edit#gid=0"", ""Open Partner Tracker ↗"")"
Thiago da Ponte,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002LRtwaQAD/view"", ""Kyndryl Brasil"")",Brazil,Premier,39,"$21,706,864.00",745,4185,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1wvMK5gSOkTNl-oRS6XbvQJmrHDdz73tqKcGpF6DCZ2I/edit#gid=0"", ""Open Partner Tracker ↗"")"
Thiago da Ponte,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h328CQAQ/view"", ""SantoDigital"")",Brazil,Premier,122,"$9,767,360.09",347,176,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1F5uhnmaF-eEeWYGQRsoI8mU7brFRQjVye5gD7R8D50E/edit#gid=0"", ""Open Partner Tracker ↗"")"
Thiago da Ponte,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002N6mbcQAB/view"", ""Sauter Tecnologia"")",Brazil,Premier,80,"$11,159,109.54",110,79,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1NKjJTPPOkss7UZIyE5G7LNdZydpICP20lfs0b4mS0LU/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3APgQAM/view"", ""Davinci Technologies S.A.S."")",Colombia / LATAM,Premier,5,"$345,000.00",52,23,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1k4unxePXkKLUnPgps0rXwyAaUhw8pdo0tQTYeS5PXjY/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001oXKepQAG/view"", ""Apiux Tecnologia SPA"")",Chile / Colombia,Premier,8,"$378,774.00",7,17,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1DiKDGNgZacovQSViI6DApQ1maUjGN3yGQAM9A6xem0c/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h33BxQAI/view"", ""Multiedro Serviços de TI Ltda."")",Brazil,Premier,16,"$1,845,141.70",67,19,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/15XufkdmnBJYyg_6F_HCjMqYk7jBVneBGtXWwBKc9sCU/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3BebQAE/view"", ""DATALAKERS TECNOLOGIA LTDA"")",Brazil,Premier,6,"$312,920.00",33,9,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1Fjv5esoG30AUu_VC4n_xwYWhEInT_6M64vwKFboCH3M/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h33ClQAI/view"", ""DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6)"")",Brazil,Premier,0,$0.00,0,7,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1Bcwbr6fTMal-rrVUFhMb2eYz8OX85dCTPhCr9_NdekM/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000200G6AQAU/view"", ""SoftwareOne"")",Colombia / Regional MCO,Premier,4,"$427,713.00",158,61,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1auK4hL1iWJy9RRLEVyKx95zW8B88mNgeZcC-8eTBvYw/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AerQAE/view"", ""SoftwareOne Brasil"")",Brazil,Premier,7,"$1,177,264.68",158,21,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1PWmFIaxKeD7O6qvdB8KtNNPBs4SeCEhDY-D-PZ1lwmM/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000019zlsUIAQ/view"", ""Rubik Cloud"")",Argentina / Chile / Regional,Premier,9,"$847,904.00",0,9,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1Bd_YxWtCOiGodF7NqvbqgpoFQwFDdKDJtk98Z46yvEk/edit#gid=0"", ""Open Partner Tracker ↗"")"
